patent_id,assignee_id,cluster_label,data_label
D862959,7d037e17-b62a-4a02-8861-9407da26c397,"International Business Communications, Inc.","International Business Communications, Inc."
5839303,0ca3496f-386d-4aa8-bc02-8fc7aeacec7f,"Business Machines Security, Inc.","Business Machine Security, Inc."
8670155,262a9361-2d75-4ce7-a7f3-29e06a09b794,"Hewlett-Packard Developmment Company, L.P.","Hewlett-Packard Developmment Company, L.P."
4829583,40f72075-7bbb-4e42-adc8-e505e085f4cb,"Sino Business Machines, Inc.","Sino Business Machines, Inc."
D661956,7d037e17-b62a-4a02-8861-9407da26c397,"International Business Communications, Inc.","International Business Communications, Inc."
4443070,e5735033-f82b-47f3-9adf-25dfc1b71613,"Ricoh Col, Ltd.","Ricoh Col, Ltd."
8286200,b0e57a84-ddef-4909-8996-2c3ae6175110,Sony NEC Optiarc Inc.,Sony NEC Optiarc Inc.
7843788,b0e57a84-ddef-4909-8996-2c3ae6175110,Sony NEC Optiarc Inc.,Sony NEC Optiarc Inc.
8220013,b0e57a84-ddef-4909-8996-2c3ae6175110,Sony NEC Optiarc Inc.,Sony NEC Optiarc Inc.
4231265,8654e661-5df9-4813-9dc4-e2e9f6609afa,Winkelmann and Pannhoff and Bayerische Motoren Werke Aktiengesellschaft,Winkelmann and Pannhoff and Bayerische Motoren Werke Aktiengesellschaft
10573184,4f280165-cdca-483d-86c0-72598b28d6b0,Internatioinal Business Machines Corpoation,Internatioinal Business Machines Corpoation
5918017,4f280165-cdca-483d-86c0-72598b28d6b0,Internatioinal Business Machines Corpoation,Internatioinal Business Machines Corp.
5966290,4f280165-cdca-483d-86c0-72598b28d6b0,Internatioinal Business Machines Corpoation,Internatioinal Business Machines Corporation
6662214,b4d581f7-113d-48b0-a42d-4830021b51c1,Sony Service Center (Europe) N.V.,Sony Service Center (Europe) N.V.
6745389,b4d581f7-113d-48b0-a42d-4830021b51c1,Sony Service Center (Europe) N.V.,Sony Service Center (Europe) N.V.
RE42587,b4d581f7-113d-48b0-a42d-4830021b51c1,Sony Service Center (Europe) N.V.,Sony Service Center (Europe) N.V.
RE41091,b4d581f7-113d-48b0-a42d-4830021b51c1,Sony Service Center (Europe) N.V.,Sony Service Center (Europe) N.V.
7339530,b01842fd-40b1-4e7f-827e-2d5c88b9c40e,Sony Ericcson Mobile Communications AB,Sony Ericcson Mobile Communications AB
7922523,b01842fd-40b1-4e7f-827e-2d5c88b9c40e,Sony Ericcson Mobile Communications AB,Sony Ericcson Mobile Communications AB
5655452,204f4a9a-94e7-4f5c-a6ba-ef67ad43ac11,Agfa Division--Bayer Corporation,"AGFA Division, Bayer Corp."
5844697,204f4a9a-94e7-4f5c-a6ba-ef67ad43ac11,Agfa Division--Bayer Corporation,Agfa Division--Bayer Corporation
8977202,57c6425b-0c98-415f-b3ed-79aaf2dcc496,Fujitsu Moble Communications Limited,Fujitsu Moble Communications Limited
D403341,d31ad182-8b9e-4e13-a92a-6677d65b9d20,"Samsung Aerospece Industries, Ltd.","Samsung Aerospece Industries, Ltd."
D697016,45d6c731-ba26-44a2-84d0-32745d6d6679,Bayeriche Motoren Werke Aktiengesellschaft,Bayeriche Motoren Werke Aktiengesellschaft
9269500,45d6c731-ba26-44a2-84d0-32745d6d6679,Bayeriche Motoren Werke Aktiengesellschaft,Bayeriche Motoren Werke Aktiengesellschaft
10555707,99f59049-55fb-49a9-ba84-9e17fd2f0bba,GENERAL ELECTRIC COMPAMNY,GENERAL ELECTRIC COMPAMNY
7386521,a99eaeb0-e430-4874-9e1a-a774cdcfb7e0,Intranational Business Machines Corporation,Intranational Business Machines Corporation
7596713,a99eaeb0-e430-4874-9e1a-a774cdcfb7e0,Intranational Business Machines Corporation,Intranational Business Machines Corporation
6570111,6cb2f701-4fcb-4bb4-9efe-e99d84a64ef7,Sony Technology Malaysia SDN. BHD.,Sony Technology Malaysia SDN. BHD.
7837319,f9778613-1583-4ac9-9b9e-0411b314008a,Hewlett-Packard Singapore (Private) Ltd.,Hewlett-Packard Singapore (Private) Ltd.
6057563,21a34ed9-8119-499a-b8d1-f0e5f610f32e,LG Electonics Inc.,"Lite-on Electonics, Inc."
7162407,fa167e36-322b-4956-9e14-71b7184b3228,MS1-Microsoft Corporation,MS1-Microsoft Corporation
9064531,c65b7c44-5d46-417f-b857-77cd20f8615b,"SAMSUNG ELECTRO-MECHANICS JAPAN ADVANCED TECHNOLOGY, CO., LTD.","SAMSUNG ELECTRO-MECHANICS JAPAN ADVANCED TECHNOLOGY, CO., LTD."
8451558,c65b7c44-5d46-417f-b857-77cd20f8615b,"SAMSUNG ELECTRO-MECHANICS JAPAN ADVANCED TECHNOLOGY, CO., LTD.","Samsung Electro-Mechanics Japan Advanced Technology Co., Ltd."
8964330,c65b7c44-5d46-417f-b857-77cd20f8615b,"SAMSUNG ELECTRO-MECHANICS JAPAN ADVANCED TECHNOLOGY, CO., LTD.","Samsung Electro-Mechanics Japan Advanced Technology Co., Ltd."
9019656,c65b7c44-5d46-417f-b857-77cd20f8615b,"SAMSUNG ELECTRO-MECHANICS JAPAN ADVANCED TECHNOLOGY, CO., LTD.","Samsung Electro-Mechanics Japan Advanced Technology Co., Ltd."
8888369,c65b7c44-5d46-417f-b857-77cd20f8615b,"SAMSUNG ELECTRO-MECHANICS JAPAN ADVANCED TECHNOLOGY, CO., LTD.","Samsung Electro-Mechanics Japan Advanced Technology Co., Ltd."
9170664,e0ffc731-32cc-4897-845b-ea3cfed50f3d,Sony Computer Entertainent Inc.,Sony Computer Entertainent Inc.
4849773,c553c2bb-0773-4e34-a3fc-1deb37d4f73b,"Sony Corporation, a Japanese corporation","Seiko Epson Corporation, A Japanese Corporation"
4895432,c553c2bb-0773-4e34-a3fc-1deb37d4f73b,"Sony Corporation, a Japanese corporation","Seiko Epson Corporation, a Japanese Corporation"
4920358,c553c2bb-0773-4e34-a3fc-1deb37d4f73b,"Sony Corporation, a Japanese corporation","Seiko Epson Corporation, a Japanese Corporation"
4867587,c553c2bb-0773-4e34-a3fc-1deb37d4f73b,"Sony Corporation, a Japanese corporation","Seiko Epson Corporation, a Japanese Corporation"
9818431,5119b02f-1003-4553-8c07-a577907a95e7,"Microsoft Technoloogy Licensing, LLC","Microsoft Technoloogy Licensing, LLC"
5157519,7f95f74d-08d1-4550-a33a-2e7e8e8e7812,"FUJITSU AMERICA, Inc.","Fujitsu America, Inc."
8732024,7f95f74d-08d1-4550-a33a-2e7e8e8e7812,"FUJITSU AMERICA, Inc.","Fujitsu America, Inc."
10229402,7f95f74d-08d1-4550-a33a-2e7e8e8e7812,"FUJITSU AMERICA, Inc.","FUJITSU AMERICA, Inc."
5082695,43ae9fbd-843c-4d20-9044-7ef56c7d9d07,501 Fujitsu Limited,501 Fujitsu Limited
4967252,43ae9fbd-843c-4d20-9044-7ef56c7d9d07,501 Fujitsu Limited,501 Fujitsu Limited
5024958,43ae9fbd-843c-4d20-9044-7ef56c7d9d07,501 Fujitsu Limited,501 Fujitsu Limited
10025635,e2f37e21-910c-43ae-8126-206510c4ceaf,INTERNATIONAL BUSINESS MAHCINES CORPORATION,International Business Mahcines Corporation
10146677,e2f37e21-910c-43ae-8126-206510c4ceaf,INTERNATIONAL BUSINESS MAHCINES CORPORATION,INTERNATIONAL BUSINESS MAHCINES CORPORATION
7000189,e2f37e21-910c-43ae-8126-206510c4ceaf,INTERNATIONAL BUSINESS MAHCINES CORPORATION,International Business Mahcines Corporation
