mention-id,unique-id
US6205043-1,1
US6434031-1,1
US6583702-1,1
US6423491-1,2
US4184768-1,3
US4468136-1,3
US5512447-1,4
US6316209-1,4
US6660061-2,5
US6824689-3,5
US5486604-2,6
US5872243-2,6
US6593307-5,6
US4865710-0,7
US6408019-1,8
US4820631-1,10
US5468468-3,10
US5480968-1,10
US5512434-0,10
US5573935-2,10
US5578566-2,10
US5595895-1,10
US5648273-5,10
US5654405-2,10
US5665870-2,10
US5693778-1,10
US5707805-2,10
US5731170-2,10
US5741642-2,10
US5747261-2,10
US5792638-0,10
US5820859-1,10
US5821223-2,10
US5833986-3,10
US5863739-3,10
US5916755-1,10
US5965359-1,10
US5985553-2,10
US6225088-2,10
US6228600-1,10
US6403769-1,10
US6420531-2,10
US6479255-2,10
US6566098-3,10
US6639060-1,10
US6653084-2,10
US6660488-1,10
US6709842-2,10
US6833132-2,10
US5760941-1,11
US5440052-2,12
US5872148-2,12
US6325608-3,13
US6310906-0,14
US5780223-3,15
US6295472-3,16
US4565571-0,17
US4643779-0,17
US5198187-2,18
US5724072-1,19
US4058602-1,20
US6532380-2,21
US6133948-0,22
US6141324-0,23
US5854864-3,25
US6047095-3,25
US6277489-0,25
US6284197-0,25
US6288392-0,25
US6468657-2,25
US6600076-0,25
US6692699-0,25
US6780492-2,25
US6797463-0,25
US6824837-0,25
US4537718-1,27
US4840894-3,27
US4427884-1,28
US5132988-1,29
US5430661-1,29
US6258981-2,30
US6307100-2,30
US6344062-0,31
US6830696-1,32
US6513527-0,33
US5516931-1,34
US5602273-1,34
US5604104-1,34
US5610020-1,34
US5650270-1,34
US6836559-0,35
US5849652-1,36
US6180335-3,37
US5045275-0,38
US5558845-2,38
US6374909-1,38
US6170209-1,39
US6281148-1,39
US6574968-1,40
US6712915-1,40
US6804967-1,40
US5389621-0,41
US5976486-3,42
US6790518-2,43
US4622531-4,44
US5237298-2,44
US5650230-1,44
US5073010-2,46
US6393449-2,47
US6171862-0,48
US5286623-2,49
US6162632-1,50
US5565334-1,51
US5874415-1,51
US5658636-1,52
US5772902-1,52
US4873024-0,53
US5110949-0,53
US6025401-1,54
US6224379-0,55
US6338560-0,55
US4251509-1,56
US5135848-0,57
US6074834-1,57
US4491605-3,58
US5331587-0,58
US6268474-2,59
US6756205-2,59
US5440664-1,60
US5567471-1,60
US4860743-0,61
US5036463-0,61
US5041109-0,61
US5061265-0,61
US5464404-0,61
US5575787-0,61
US5651785-0,61
US5651786-0,61
US5782824-0,61
US4322974-0,62
US4339799-0,62
US4362058-0,62
US4501009-0,62
US4998083-0,62
US5107239-0,62
US5119057-0,62
US5162771-0,62
US5278534-0,62
US5285393-0,62
US5412365-0,62
US5428333-0,62
US5475355-0,62
US5495222-0,62
US5790006-0,62
US5798680-0,62
US6225887-1,62
US6265959-0,62
US6392518-0,62
US4714777-2,64
US4571381-0,65
