mention-id,unique-id,name_first,name_last
US6568878-1,0,Felipe,Garcia
US7597885-1,1,Stephen A.,Cochran
US7852346-1,2,John Erik,Lindholm
US8361742-1,3,Andrew M.,"Long, III"
US6112206-1,4,Lyle L.,Zumbach
US8008423-2,5,Ashish,Dhawan
US6207602-0,6,Scott L.,Gessner
US7094257-0,7,James R,Mujwid
US6241361-1,8,Darrin Kurt,Pickle
US7317991-0,9,Tsili,Wang
US6741968-2,10,Karla J.,Mains
US8068702-0,11,Mark M.,Morita
US7770722-1,12,Nathan J.,Meyer
US6732114-1,13,Alexander A.,Sourov
US5764899-0,14,Gene,Eggleston
US6827763-0,15,Phillip,McGee
US8055838-3,16,Gregory Michael,Nordstrom
US5752789-0,17,Michael M.,Stepan
US6673048-1,7,James Ryan,Mujwid
US7962343-2,18,Brien H.,Muschett
US4639766-0,19,Jonathan M.,Schine
US7289830-0,20,Jason G.,Bauman
US7567504-1,21,Sean B.,House
US7664757-0,22,Eimar M.,Boesjes
US8203443-0,23,Brent J.,Bos
US8065658-0,24,Naveen,Bali
US8185092-0,25,Daniel R.,Durig
US6553218-0,22,Eimar M.,Boesjes
US6999301-2,26,Eric M,Berg
US7506075-0,27,Troy David,Armstrong
US4603173-0,28,Mark P.,Mack
US4814358-0,29,Thomas M.,Knobel
US5932835-1,0,Felipe,Garcia
US5201767-0,30,Salvatore,Caldarise
US7357187-0,31,Dustin Dean,Gass
US7299926-0,32,Paul Grady,Russell
US7478154-0,33,Robert A.,Cochran
US7736428-1,34,Darran R.,Cairns
US7208489-6,35,Scott Norman,Vanderwel
US6521182-0,36,Robert Justice,Shartle
US7113735-4,37,Richard,Berg
US6689342-3,38,Georgia,Arvanitis
US6470204-5,39,Randy Otto John,Giaquinto
US6802260-1,0,Felipe,Garcia
US8019406-0,40,Jie,Lian
US7670162-0,41,David Charles,Hughes
US6470204-2,42,Ronald Dean,Watkins
US5637878-1,29,Thomas M.,Knobel
US6588920-0,43,James V,Agro
US6950107-1,2,John Erik,Lindholm
US6659587-0,37,Richard H.,Berg
US7621761-2,44,Roman,Milter
US7035916-0,45,Terje K.,Backman
US5546390-0,46,Geoffrey C.,Stone
US5514128-2,47,Daniel J.,Kasprzyk
US8313453-3,48,Kristen,Jaax
US6910911-2,49,James Randall,Logan
US7856378-0,50,Alex,Mashinsky
US5822838-0,51,Ellis C.,Seal
US7440192-0,52,Kevin Marc,Morrissey
US6604744-0,53,Valery,Monge
US7917199-0,54,Touby A.,Drew
US6224999-1,55,William M.,Paulot
US5084149-0,56,Jerry J.,Kaczur
US6658207-0,57,Andrew J.,Partynski
US7274303-0,58,Mauro,Dresti
US7716645-0,59,Julian,Dolby
US7375228-0,60,Jerome C.,Bressi
US5179425-0,61,Stephen J.,Reinsch
US5551554-0,62,Quentin L.,Wilson
US8175272-3,63,Guenael T.,Strutt
US7702900-0,64,Vijaykumar,Cherukumudi
US7025152-1,65,Matthew L.,Dock
US8248599-0,66,Qiwen,Zhan
US7756723-0,67,Eric,Rosow
US8419547-0,68,Paul J.,Radek
US4349742-2,69,David W.,Phillips
US7550608-0,70,Phong,Vu
US5680482-1,71,Michael R.,Tucker
US7048365-1,72,Eric A.,Merz
US7848955-3,73,Ellis M.,Verosub
US7310675-0,74,Joseph,Salesky
US7879062-2,75,Jim,Pokorney
US8180676-2,76,Ron,Hirson
US8370938-0,77,Neilkumar Murli,Daswani
US6751775-1,78,Thomas,Klingenbrunn
USD523809-0,79,Dane M.,Roth
US6636997-0,80,Paul,Wong
US6163377-3,81,Roger J.,Greenwald
US7707547-0,82,Paul,Colton
US7186596-2,83,Michael,Khazhinsky
US7650642-0,84,Kenneth,Hass
US8024177-2,85,Michael John,Witbrock
US7941780-1,86,Henry A.,"Bonges, III"
US7264220-2,87,John M.,Wiltse
US5574634-1,88,Roger D.,Carpenter
US8147314-5,89,Rodney L.,Willyard
US7205701-2,90,Mark A.,Repko
US7726968-1,91,Sunghan,Kim
US7245315-0,92,Mokhtar,Sadok
US5575284-0,93,Stephan P.,Athan
US7408558-0,94,Thomas E.,Madden
US6465040-3,95,Jeffrey Allen,Conner
US7516145-2,96,Ranjan,Aggarwal
US5981210-0,97,Robert A.,Ollar
US7659090-2,98,Tsu-shun,Lee
US5271470-1,99,Walter F.,Rausch
US7100128-1,100,Jeffrey Scott,Salowe
US8498196-2,101,Elliott,Hoole
US6215038-0,102,James Arthur,Davis
US7222488-3,103,Craig Douglas,Young
US7866506-0,104,Matthew P.,Daniels
US6399714-1,105,William F.,McDonald
US7849352-3,106,Michael J.,Klemm
US6451010-0,107,David,Angeley
US5333084-1,108,Titus E.,Davis
US7076479-4,109,Scott W.,Snell
US7568359-9,110,Tim L.,Coulter
US7353382-0,111,Yannis,Labrou
US6833827-1,112,Kathryn L.,Parker
US4977430-1,113,William Y.,Fowlkes
US7609958-4,114,Scott C.,Cahall
US6030715-3,115,Paul E.,Burrows
US4918732-1,116,Brett L.,Lindsley
US5599874-0,117,Stephen M.,Singer
US6293202-1,0,Felipe,Garcia
US7295599-0,118,Murat F.,Karsi
US7576797-1,119,Hyuk-Joon,Oh
US7985569-8,120,Andrew,Shaw
US6614039-0,121,Brad C.,Hollander
US7643211-1,122,Gerald N.,Nkwantah
US5225747-1,123,George A.,"Alderton, IV"
US7775414-0,124,Peter J.,Ditzel
US7870484-1,125,Ronald R.,Martinsen
US8225373-0,126,Jeffrey A.,Kraemer
US7162136-2,127,James E.,Smith
US4415714-0,28,Mark P.,Mack
US5613155-1,128,Christopher,Meyer
US6587770-4,129,James F.,Patterson
US7560032-1,130,Everett C.,Phillips
US6988179-1,131,Alexei,Kojenov
US7254595-0,132,Kenneth J.,Taylor
US5492235-0,133,Douglas E.,Crafts
US7151403-0,134,Larry,Kirn
US7230268-3,135,Amir A,Yasseri
US7731366-1,136,Charles L.,Bruzzone
US8231962-4,137,Thierry,Glauser
US5220325-1,138,Hemant,Bheda
US7002588-0,2,John Erik,Lindholm
US6975321-0,2,John Erik,Lindholm
US6238776-8,139,Stephen P.,McLaughlin
US8024774-0,140,Varun,Bhagwan
US6912319-1,141,Saad A.,Sirohey
US7013989-1,142,Joel D.,Shaw
US7264305-0,143,Sanjeev,Kuriakose
US8187227-1,144,Thomas A.,Sutrina
US5916929-0,29,Thomas,Knobel
US6229830-1,145,Eduard,Sackinger
US6513737-3,146,Nima,Shahidi
US5276892-1,147,Robert M.,Supnik
US6465378-0,6,Scott L.,Gessner
US7777886-0,148,Serguei,Koulikov
US8209227-0,149,William A,Gindlesperger
US6710651-0,150,Tim,Forrester
US5660602-2,151,David Neal,Mulligan
US6996867-0,152,Karen L.,Boso
US8089268-0,9,Tsili,Wang
US7625375-0,153,Benjamin,Garden
US6850144-1,154,Thomas,Mader
US4950357-0,155,Steven R.,Sedlmayr
US4783055-0,156,Kenneth C.,Widen
US5294994-2,157,Ricardo L.,Fernandez
US6303238-4,115,Paul E.,Burrows
US6539147-0,158,Glenn M.,Mahony
US7474803-3,159,Veronika,Shelyekhova
US6851092-3,160,Anthony Lionel,Creed
US5845298-1,161,Marc,Tremblay
US7271749-5,162,Giovanni,Motta
US7731736-1,7,James R.,Mujwid
US7776110-0,163,Marc P.,Privitera
US7851433-2,164,Glenn,Dorin
US5831865-0,165,Alan,Berezin
US8038457-0,41,David Charles,Hughes
US8472461-0,166,Neil,Keon
US4251071-0,167,Craig D.,Norton
US7065626-1,168,Vince,Leung
US7671001-0,169,David C.,Skee
US7720620-3,170,Joy,Mazumdar
US8135921-0,171,Bryan M.,Logan
US6434550-0,172,Douglas K.,Warner
US7840774-2,173,Sauraj,Goswami
US7260191-0,174,Vladislav I.,Laurinavichus
US7691130-0,175,Aurelien,Bruneau
US8124234-0,176,Laura B.,Weaver
US5808887-1,177,Karen Irene,Trovato
US4987899-0,178,Alan W.,Brown
US7613800-4,179,William,McCarroll
US5122558-0,29,Thomas M.,Knobel
US6312502-1,180,Jospeh E.,Paganessi
US8264492-0,2,John Erik,Lindholm
US6018529-0,181,Robert James,Toth
US7601083-1,182,Jared J.,"Smalley, Jr."
